Discription,Unit of Measure, Unit Price (USD) 
"Supply of 2.5 X 2.3m shelter including testing, commissioning and PAT and installation of the shelter on raft concrete foundation (3.6*3*0.25) m including construction the foundation as per ZAIN specs.",each,27200
"Supply of 3.2 X 2.7m shelter including testing, commissioning and PAT and installation of the shelter on raft concrete foundation (4.5*3.4*0.25) m including construction the foundation as per ZAIN specs.",each,28638.01
Outdoor cable tray with cover supply & Installation (300mm width) in rooftop site ,Meter,160.43
 ,each,289.07
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 12"" wide (150mm) (Indoor)",Meter,97.6
RF Antenna mounting supply and installation with bracket and all accesseriores (4m),each,449.28
Rooftop Sites. Crane Lift. For lifting rooftop antenna mounts and equipment containers. Assumes free access. In other than the 5 major centres. Lift height to 6m (up to 20 ton),each,1281.01
Supply and Installation of 10 Amp DC Circuit breaker,each,41.56
"Insulated copper earth wire; soft drawn, stranded. Supply and install, PVC insulated copper conductor. 16 mm²",Meter,4.19
Cadweld connection. Wire to wire T and X connection,each,16.55
Supply &  Installation of one minishelter Foundation As per Approved Zain KSA Design ,each,336
Supply &  Installation of one Powercube Foundation As per Approved Zain KSA Design ,each,1152
Install RRU Indoor Wall Mounted Power TP4860H for RRU Wall Mounted Power TP4860H， including 40Ah battery,Set,748.8
"Install Indoor Rectifier TP48400B-L20A1, 200A 48V output and support maximum expansion 400A 48V output, including 2 string 150Ah batteries NorthStar NSB 155FT Red.",Set,1600
"Install Rechargeable Battery,VRLA battery(Front Terminal),48V,150Ah,battery group(12V Monobloc),4*(560*125*283)mm,(NorthStar NSB 155FT Red) ",Set,852.48
"Excavation to any depth and backfill, in soil",cu.m.,16.47
"Excavation to any depth and backfill, in rock",cu.m.,35.94
"Compacted backfill material, sand or native, marl, similar materials",cu.m.,17.11
"Compacted fill, coarse aggregate",cu.m.,21.56
"Compacted fill, hard-core",cu.m.,28.75
"Excavation and backfill of cable trenches with specified material. Depth up to 0.8 m, in soil",lin.m.,18.25
"Excavation and backfill of cable trenches with specified material. Depth up to 0.8 m, in rock",lin.m.,35.28
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 1.0 m, in soil",lin.m.,21.09
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 1.0 m, in rock.",lin.m.,35.28
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 1.0 - 1.5 m, in soil",lin.m.,25.14
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 1.0 - 1.5 m, in rock",lin.m.,56.91
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 1.5 - 2.0, in soil",lin.m.,28.39
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 1.5 - 2.0 m, in rock",lin.m.,70.96
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 2.0 - 2.5 m, in soil",lin.m.,32.03
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 2.0 - 2.5 m, in rock",lin.m.,70.96
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 2.5 - 3.0 m, in soil",lin.m.,35.28
"Excavation and backfill of trenches with approved material for water & Sewer Pipes. Depth up to 2.5 - 3.0 m, in rock",lin.m.,70.96
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 2 m, in soil",lin.m.,35.94
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 2 m, in rock",lin.m.,72.9
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 3 m, in soil",lin.m.,72.9
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 3 m, in rock",lin.m.,70.63
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 4 m, in soil",lin.m.,70.63
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 4 m, in rock",lin.m.,94.62
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 5 m, in soil",lin.m.,94.62
"Leveling the site around the structure to the required levels and creating slopes. This includes excavation, backfilling, cutting, grading etc. Depth 5 m, in rock",lin.m.,141.52
"Rock anchor - 20 mm diameter x 700 mm long, resin bonded plate welded on. Supply and installation, including drilling, anchor & resin grout",each,141.52
"Excavation to any depth and backfill , in rock for tower foundation only in addition to the tower foundation items (just to conpensate the difference between soil and rock excavation for tower foundation) ",m3,14.19
"Reinforced Concrete including formwork, reinforcement, and finishing in all types of structures (cast in situ). Quality 25 N/mm²",cu.m.,359.42
"Reinforced Concrete including formwork, reinforcement, and finishing in all types of structures (cast in situ). Quality 30 N/mm²",cu.m.,389.38
"Concrete including formwork, and finishing in all types of structures (cast in situ), exclusive of reinforcement. Quality 25 N/mm²",cu.m.,311.5
"Concrete including formwork, and finishing in all types of structures (cast in situ), exclusive of reinforcement. Quality 30 N/mm²",cu.m.,359.42
"Concrete including formwork, and finishing in all types of structures (cast in situ), exclusive of reinforcement. Quality 35 N/mm²",cu.m.,380.39
"Formwork for non-exposed surfaces, incl. striking",sq.m.,17.37
"Formwork for exposed surfaces, incl. striking",sq.m.,19.47
Reinforcement,kg.,1.31
Epoxy Coated Rebar, kg.,2.03
Finished concrete ground slabs including reinforcing steel. 12 cm thickness 4000psi,sq.m.,50.92
Finished concrete ground slabs including reinforcing steel. 15 cm thickness 4000psi,sq.m.,50.92
Finished concrete ground slabs including reinforcing steel. 250 cm thickness,sq.m.,76.38
"Lean concrete underneath foundation, waterproof membrane etc. 5 cm thickness",sq.m.,6.89
"Precast / prestressed concrete for solid and ribbed slabs,   beams (rectangular T beams, double T beams, etc), panels etc. This includes supply labour, installation, necessory accessories.",lin.m.,233.63
Precast concrete panels for exterior walls (thickness) 200mm,sq.m.,95.85
Precast concrete panels for interior walls (thickness) 100mm,sq.m.,76.08
Precast concrete panels for slabs (thickness) 100mm,sq.m.,77.28
"Foundation Work Including Excavation, Backfilling, Blinding Concrete Reinforcement. Strip Raft & Wall Foundation for Shelter 3.0x3.0",each,1550.35
"Foundation Work Including Excavation, Backfilling, Blinding Concrete Reinforcement. Dual Generator Slab Foundation",each,9285.12
"Foundation Work Including Excavation, Backfilling, Blinding Concrete Reinforcement. Dual Generator Strip raft Foundation",each,2995.2
"Foundation Work Including Excavation, Backfilling, Blinding Concrete Reinforcement. For outdoor cabinet in villages",each,1048.32
"Rooftop Sites. Erection of Steelwork. Incl. mast steel, bolts with nuts and washers, initial quantity of antenna mounts for initial load  5 - 10 m mast",ton,1003.76
"Supply only of structural steelwork, materials, fabrication, anchor bolts, welding,etc, for complete structures. Type: galvanised, quality including Rooftop Building Sites (Sq.bases, tripods, wall mounts, etc)",ton,3659.67
"Supply and erection Structural steelwork, materials, fabrication, anchor bolts, welding, erection etc, for complete structures. Type: painted, quality including Rooftop Building Sites (Sq.bases, tripods, wall mounts, etc",ton,4942.08
"Angle irons, by size 2""x 2""x½""",lin.m.,11.73
"Fixings. Supply and install, including drilling or fixing to reinforcement. Anchor bolts, ¾""",lin.m.,45.6
"Fixings. Supply and install, including drilling or fixing to reinforcement. Anchor bolts, 16 mm diameter",lin.m.,45.6
"Fixings. Supply and install, including drilling or fixing to reinforcement. Anchor bolts, 10 mm diameter",lin.m.,35.28
"Aluminum counter flashing include fixing. Supply & install, including anchors and joint sealant. All girths",sq.m.,26.06
"Aluminum sundries include fixing. Supply and install, including anchor. Capping: any girth",sq.m.,26.06
"Aluminum sundries include fixing. Supply and install, including anchor. Aluminum angle frame: 50 x 50 x 6 mm",lin.m.,10.48
Metal Grating,sq.m.,105.13
Handrail,lin.m.,183.61
"Chain link fence, 2.0 m & with 2 rows of the barbed wires  high above ground level, complete with foundations and corner posts",lin.m.,97.54
Double Vehicle Gate 2.5m,each,3336.9
Gate with 2m wide x 2m  height,Each,611.94
Gate with 4m wide x 2m  height,Each,1781.39
Mechanical connections to rods,each,47.17
Cad Weld connections,each,12.13
Grounding Test,each,495.47
"Flexible Electrical Conduit. Supply and install flexible conduit, termination glands, other fittings as necessary, ¾"" (19 mm)",lin.m.,7.28
"Flexible Electrical Conduit. Supply and install flexible conduit, termination glands, other fittings as necessary, 1"" (25 mm)",lin.m.,12.13
"Flexible Electrical Conduit. Supply and install flexible conduit, termination glands, other fittings as necessary, 1½"" (38 mm)",lin.m.,18.87
"Flexible Electrical Conduit. Supply and install flexible conduit, termination glands, other fittings as necessary, 2"" (50 mm)",lin.m.,23.45
"Flexible Electrical Conduit. Supply and install flexible conduit, termination glands, other fittings as necessary, 3"" (75 mm)",lin.m.,23.45
"Flexible Electrical Conduit. Supply and install flexible conduit, termination glands, other fittings as necessary, 4"" (100 mm)",lin.m.,47.17
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, ¾"" (19 mm)",lin.m.,9.43
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 1"" (25 mm)",lin.m.,12.13
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 1½"" (38 mm)",lin.m.,18.87
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 2"" (50 mm)",lin.m.,23.45
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 2½"" (63 mm)",lin.m.,47.17
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 3"" (75 mm)",lin.m.,47.17
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 4"" (100 mm)",lin.m.,47.17
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 5"" (125 mm)",lin.m.,70.63
"Electrical Conduit-rigid steel, galvanized with clamps. Supply and install RGS conduits, with conduit boxes, bends tees, reducers, supports, etc. as necessary, 6"" (150 mm)",lin.m.,94.62
"Electrical Conduit EMT/IMT. Conduit EMT/IMT with fixing  accessories and installation, ¾"" (19 mm)",lin.m.,9.43
"Electrical Conduit EMT/IMT. Conduit EMT/IMT with fixing  accessories and installation, 1"" (25 mm)",lin.m.,14.02
"Electrical Conduit EMT/IMT. Conduit EMT/IMT with fixing  accessories and installation, 1½"" (38 mm)",lin.m.,23.45
"Electrical Conduit EMT/IMT. Conduit EMT/IMT with fixing  accessories and installation, 2"" (50 mm)",lin.m.,23.45
"Electrical Conduit - PVC with fixing accessories. Supply and install PVC conduits, conduit boxes, bends, tees, reducers, joints, supports, brackets, other fittings as necessary, 25 mm",lin.m.,7.28
"Electrical Conduit - PVC with fixing accessories. Supply and install PVC conduits, conduit boxes, bends, tees, reducers, joints, supports, brackets, other fittings as necessary, 38 mm",lin.m.,12.13
"Electrical Conduit - PVC with fixing accessories. Supply and install PVC conduits, conduit boxes, bends, tees, reducers, joints, supports, brackets, other fittings as necessary, 50 mm",lin.m.,14.02
"Electrical Conduit - PVC with fixing accessories. Supply and install PVC conduits, conduit boxes, bends, tees, reducers, joints, supports, brackets, other fittings as necessary, 75 mm",lin.m.,19.47
"Electrical Conduit - PVC with fixing accessories. Supply and install PVC conduits, conduit boxes, bends, tees, reducers, joints, supports, brackets, other fittings as necessary, 100 mm",lin.m.,23.45
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 70 mm²",lin.m.,7.28
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 95 mm²",lin.m.,12.13
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 120 mm²",lin.m.,12.13
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 150 mm²",lin.m.,16.71
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 185 mm²",lin.m.,18.87
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 240 mm²",lin.m.,23.45
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 300 mm²",lin.m.,23.45
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 400 mm²",lin.m.,23.45
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 500 mm²",lin.m.,47.17
"Electrical Cable single core, XLPE, 1000/600 volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 630 mm²",lin.m.,47.17
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 2.5 mm²",lin.m.,4.58
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 4 mm²",lin.m.,4.58
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 6 mm²",lin.m.,4.58
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 10 mm²",lin.m.,7.28
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 16 mm²",lin.m.,12.13
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 25 mm²",lin.m.,18.48
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 35 mm²",lin.m.,37.48
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 50 mm²",lin.m.,54.93
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 70 mm²",lin.m.,69.82
"Electrical Cable - 4 core, XLPE, 1000/600volt rated at 90°C. Supply and install electrical cable, including connections, cable pull and ties as necessary, 95 mm²",lin.m.,100.62
