Discription,Unit of Measure, Unit Price (USD) 
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 200 amp; 3 pole; in weatherproof enclosure",each,448.29
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 160 amp; 3 pole; in weatherproof enclosure",each,401.39
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 125 amp; 3 pole; in weatherproof enclosure",each,306.77
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 100 amp; 3 pole; in weatherproof enclosure",each,259.59
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 63 amp; 3 pole; in weatherproof enclosure",each,259.59
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 40 amp; 3 pole; in weatherproof enclosure",each,212.42
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 32 amp; 3 pole; in weatherproof enclosure",each,141.52
"Fuse assembly - including fuses, carriers and installation. Supply and install, 200 amp; 3 pole",each,188.7
"Fuse assembly - including fuses, carriers and installation. Supply and install, 150 amp; 3 pole",each,141.52
"Fuse assembly - including fuses, carriers and installation. Supply and install, 100 amp; 3 pole",each,141.52
"Fuse assembly - including fuses, carriers and installation. Supply and install, 80 amp; 3 pole",each,141.52
"Fuse assembly - including fuses, carriers and installation. Supply and install, 63 amp; 3 pole",each,70.63
"Fuse assembly - including fuses, carriers and installation. Supply and install, 25 amp; 3 pole",each,47.17
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 200 amp; single pole",Each,42.13
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 150 amp; single pole",Each,40.64
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 100 amp;sigle pole",Each,39.65
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 80 amp; single pole ",Each,38.66
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 63 amp; single pole",Each,32.22
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 40 amp; single pole",Each,30.73
"DC Fuse assembly - including fuses, carriers and installation. Supply and install, 25 amp; single pole",Each,20.16
Time delay controller change-over switch in weatherproof  enclosure,each,401.39
Automatic change-over switch for battery room fans,each,991.2
"Sub Distribution Panels with Labels. Supply and install, wall mounted, complete with full capacity main circuit breaker. Rated at 220 V, 60 Hz, 3 phase, 4 wire, 160 amp",each,1958.68
"Lighting Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with main isolating circuit breaker. 220 V, 60 Hz, 3 phase, 4 wire, 125 amp",each,1692.29
"Sub Distribution Panels with Labels. Supply and install, wall mounted, complete with full capacity main circuit breaker. Rated at 220 V, 60 Hz, 3 phase, 4 wire, 100 amp",each,1510.39
"Sub Distribution Panels with Labels. Supply and install, wall mounted, complete with full capacity main circuit breaker. Rated at 220 V, 60 Hz, 3 phase, 4 wire, 63 amp",each,1038.38
"Lighting Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with main isolating circuit breaker. 220 V, 60 Hz, 3 phase, 4 wire, 100 amp",each,1392.32
"Lighting Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with main isolating circuit breaker. 220 V, 60 Hz, 3 phase, 4 wire, 70 amp",each,1109
"Lighting Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with main isolating circuit breaker. 220 V, 60 Hz, 3 phase, 4 wire, 50 amp",each,825.96
"Lighting Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with main isolating circuit breaker. 220 V, 60 Hz, 3 phase, 4 wire, 40 amp",each,542.64
"Lighting Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with main isolating circuit breaker. 220 V, 60 Hz, 3 phase, 4 wire, 30 amp",each,401.39
"Link box with label. Wall mounted & with ground/neutral with main MCB 63A & 4 branch MCB on combine busbar,220/V,single phase,",Each,480
"Panel Mounted Lighting controller. Controlled by a time switch and photocell combination with a test switch and manual / automatic selection switch 220 volt, 3 pole, 60 Hz, 70 amp",each,1699.09
"Panel Mounted Lighting controller. Controlled by a time switch and photocell combination with a test switch and manual / automatic selection switch 220 volt, 3 pole, 60 Hz, 50 amp",each,1510.39
"Panel Mounted Lighting controller. Controlled by a time switch and photocell combination with a test switch and manual / automatic selection switch 220 volt, 3 pole, 60 Hz, 30 amp",each,1392.32
"Fluorescent Light Fittings rapid start. Twin-40 W lamps, with high gloss baked white reflector, industrial type",each,94.62
"Fluorescent Light Fittings rapid start. Twin-40 W, 127 V lamps, with diffusers, weatherproof type,suitable for use at damp location and battery room.",each,118.07
"Fluorescent Light Fittings rapid start. Twin-40W, 127V, heavy duty industrial type, with white enamelled sheet metal louvre.",each,94.62
"Lighting circuits including switches, conduit, wiring and necessary fittings. Supply and install, including supports, drop rod hangers, etc., 20 amp, 127V, toggle operated",each,86.06
"Lighting circuits including switches, conduit, wiring and necessary fittings. Supply and install, including supports, drop rod hangers, etc., 20 amp, 127V, toggle operated, threeway",each,70.63
"Lighting circuits including switches, conduit, wiring and necessary fittings. Supply and install, including supports, drop rod hangers, etc., 20 amp, 127V, toggle operated, weatherproof",each,70.63
"Lighting circuits including switches, conduit, wiring and necessary fittings. Supply and install, including supports, drop rod hangers, etc., 20 amp, 127V, toggle operated, fourway",each,70.63
"Lighting circuits including switches, conduit, wiring and necessary fittings. Supply and install, including supports, drop rod hangers, etc., 20 amp, 127V, toggle op., Battery Room",each,94.62
"Lighting circuits including switches, conduit, wiring and necessary fittings. Supply and install, including supports, drop rod hangers, etc., 20 amp, 127V, toggle op., 3 way, Battery Room",each,94.62
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 200 amp, 3 pole, 220 V, 60 Hz",each,802.23
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 160 amp, 3 pole, 220 V, 60 Hz",each,516.25
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 125 amp, 3 pole, 220 V, 60 Hz",each,306.77
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 100 amp, 3 pole, 220 V, 60 Hz",each,259.59
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 80 amp, 3 pole, 220 V, 60 Hz",each,259.59
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 70 amp, 3 pole, 220 V, 60 Hz",each,259.59
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 63 amp, 3 pole, 220 V, 60 Hz",each,188.7
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 50 amp, 3 pole, 220 V, 60 Hz",each,165.25
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 40 amp, 3 pole, 220 V, 60 Hz",each,141.52
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 32 amp, 3 pole, 220 V, 60 Hz",each,118.07
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 25 amp, 3 pole, 220 V, 60 Hz",each,94.62
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 16 amp, 3 pole, 220 V, 60 Hz",each,70.63
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 20 amp, 3 pole, 220 V, 60 Hz",each,94.62
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 80 amp, 2 pole, 220 V, 60 Hz",each,182.48
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 63 amp, 2 pole, 220 V, 60 Hz",each,141.52
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 50 amp, 2 pole, 220 V, 60 Hz",each,118.07
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 32 amp, 2 pole, 220 V, 60 Hz",each,94.62
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 25 amp, 2 pole, 220 V, 60 Hz",each,70.63
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 20 amp, 2 pole, 220 V, 60 Hz",each,47.17
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 16 amp, 2 pole, 220 V, 60 Hz",each,23.45
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 20 amp, 1 pole, 220 V, 60 Hz",each,23.45
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 15 amp, 1 pole, 220 V, 60 Hz",each,18.87
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 10-32 amp, 1 pole, 220 V, 60 Hz",each,23.45
"Circuit Breakers with Labels. Circuit Breakers moulded cases, panel mounted, suitable for mounting in switchboards Supply and install. 40-63 amp, 1 pole, 220 V, 60 Hz",each,54.07
"Circuit Breaker with Label. Circuit Breaker moulded case, panel mounted, suitable for mounting in switchboards Supply and install. 100 amp, 1 pole, 220 V, 60 Hz",each,67.58
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install. 250 amp, 3 pole; weatherproof enclosure",each,1557.56
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install. 200 amp, 3 pole; weatherproof enclosure",each,1038.38
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install. 160 amp, 3 pole; weatherproof enclosure",each,519.19
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install. 125 amp, 3 pole; weatherproof enclosure",each,472.01
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install. 100 amp, 3 pole; weatherproof enclosure",each,424.84
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install. 63 amp, 3 pole; weatherproof enclosure",each,401.39
Photocell.  Photocell controlled external light circuits mounted in a weatherproof case and fitted with an easily accessible test switch,each,472.01
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. Self contained Emergency Exit Lights with battery and charger installed and wired to a test switch",each,306.77
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. Emergency lighting fixture",each,306.77
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. Wall mounted outdoor lighting fixture, surface mounted",each,259.59
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. Floodlight fixture",each,330.49
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. 4 x 20 watt recessed flourescent",each,118.07
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. 18 watt compact recessed downlight",each,94.62
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. 4 x 20 watt recessed flourescent with emergency battery pack",each,306.77
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. 50 watt, 220 / 12 volt recessed downlight,  for external use",each,141.52
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. 40 watt flourescent, surface mounted with emergency battery pack",each,188.7
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. 4 x 40 watt flourescent with prismatic difffuser",each,165.25
"Other light fixtures, based on Saudi Lighting Co Ltd (SLC). Supply and install. Emergency battery invertor unit",each,236.14
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 240 mm²",lin.m.,23.45
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 120 mm²",lin.m.,18.87
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 70 mm²",lin.m.,16.71
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 50 mm²",lin.m.,12.13
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 35 mm²",lin.m.,9.43
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 25 mm²",lin.m.,4.58
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 16 mm²",lin.m.,4.58
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 10 mm²",lin.m.,2.7
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 6 mm²",lin.m.,2.7
"Earthing System components. Insulated copper earth wire; soft drawn, stranded. Supply and install to backgrounds, PVC insulated copper conductor. 4 mm²",lin.m.,2.7
Earthing System components. Earth rods; stainless steel 19 mm dia. 2400 mm long,each,118.07
"Earthing System components. Earth bar, copper, 5 mm thick with 10 mm holes for lugs",lin.m.,141.52
Earthing System components. Cadweld connection. Wire to wire T and X connection,each,12.13
Earthing System components. Cadweld connection. Wire to ground rod,each,16.71
Earthing System components. Cadweld connection. Wire to gate and fence pole,each,70.63
Earthing System components. Mechanical earthing connection. Supply and install,each,47.17
Earthing System components. Earth rod test / inspection pit. Supply and install,each,94.62
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 120 mm²,lin.m.,18.87
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 95 mm²,lin.m.,16.71
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 70 mm²,lin.m.,14.02
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 50 mm²,lin.m.,9.43
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 35 mm²,lin.m.,9.43
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 25 mm²,lin.m.,7.28
Earthing System components. Bare copper earth wire. Supply and install in trenches (trenches measured separately) and to backgrounds copper conductor. 16 mm²,lin.m.,4.58
Earthing System components. Air Rod. Supply and install. 500 mm long,each,70.63
Earthing System components. Air Rod. Supply and install. 1000 mm long,each,94.62
Earthing System components. Air Rod. Supply and install. 2000 mm long,each,141.52
Earthing System components. 25 x 3 mm bare copper tape. Supply and fix to backgrounds,lin.m.,14.02
Earthing System components. Reinforcing rod in concrete wall; continously welded. Supply and install,lin.m.,9.43
Access Control and Door Alarm Systems. Access control panel coded for identification of personnel.,each,2713.74
Access Control and Door Alarm Systems. Magnetic door reed switch contacts with wiring to panel,each,330.49
Access Control and Door Alarm Systems. Magnetic Identification card,each,23.45
Building Alarm Terminal Box (BATB) for New GSM equipment rooms / indoor sites,each,108.48
Telephone outlet complete with wiring,each,47.17
Telephone wire installed in raceway. 2 Pair,lin.m.,4.58
Telephone wire installed in raceway. 4 Pair,lin.m.,4.58
Telephone wire installed in raceway. 12 Pair,lin.m.,4.58
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 3"" wide (75 mm)",lin.m.,23.45
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 4"" wide (100 mm)",lin.m.,47.17
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 6"" wide (150 mm)",lin.m.,47.17
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 8"" wide (200 mm)",lin.m.,47.17
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 12"" wide (300 mm)",lin.m.,70.63
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 16"" wide (400 mm)",lin.m.,70.63
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 18"" wide (450 mm)",lin.m.,70.63
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 24"" wide (600 mm)",lin.m.,118.07
"Cable tray system. Supply and install galvanized cable tray or ladder rack, including supports, brackets, drop rod hangers, bends, tees, etc. 36"" wide (900 mm)",lin.m.,165.25
"Cable trunking; Galvanized. Supply and install galvanized trunking and cover, including supports, brackets, drop rod hangers, bends, tees, etc. 150 x 75 mm",lin.m.,71.88
"Cable trunking; Galvanized. Supply and install galvanized trunking and cover, including supports, brackets, drop rod hangers, bends, tees, etc. 100 x 100 mm",lin.m.,70.96
"Cable trunking; Galvanized. Supply and install galvanized trunking and cover, including supports, brackets, drop rod hangers, bends, tees, etc. 75 x 75 mm",lin.m.,35.28
"Jiffy/service poles complete with wiring and fittings, with 15 amp, 120 V outlet",each,70.63
"Jiffy/service poles complete with wiring and fittings, with 20 amp, 220 V outlet",each,70.63
"Jiffy/service poles complete with wiring and fittings, with 15 amp, 120 V outlet and telephone outlet",each,118.07
"Jiffy/service poles complete with wiring and fittings, with 20 amp, 220 V outlet and telephone outlet",each,165.25
"Fire Indicator Panel complete with Zone/circuit electronics, Smoke circuits ionization and optical, Thermal circuits, Sprinkler circuits, Zone/circuit grouping facilities, etc.",each,6914.42
Smoke Detectors. Ionization type,each,94.62
Smoke Detectors. Optical,each,118.07
Thermal Detectors,each,47.17
Optical Beam Detectors,each,283.85
Very Early Smoke Detection Apparatus. VESDA smoke sampling and detector unit.,each,567.71
Fire Detection System. Supply and install. Fire alarm horn and light - combined unit,each,188.7
Fire Detection System. Supply and install. Breakglass fire alarm,each,94.62
Fire Detection System. Supply and install. End of line resistor,each,47.17
Fire Detection System. Supply and install. Fire alarm bell,each,47.17
Fire Detection System. Supply and install. Flashing lamp,each,94.62
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Single and Duplex ; indoor ;20 amp, 125 volt; box & plate",each,35.28
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Duplex ; indoor; 20 amp, 125 volt; twist lock type; box and cover",each,70.96
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Duplex; indoor; 20 amp, 250 volt; box & plate",each,32.03
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Duplex; indoor; 20 amp, 250 volt twist lock type; box and cover",each,47.17
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Single; indoor; 20 amp, 220 / 125 volt; box and plate - Battery Room",each,94.62
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Single; indoor; 20 amp 220 volt twist lock type; box and cover",each,47.17
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Duplex; outdoor; 20 amp, 220 / 125 volt twist lock type; box and cover",each,47.17
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Single; outdoor; 20 amp, 220 / 125 volt twist lock type; box and cover",each,70.96
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Single; outdoor; 3 phase, 220 volt twist lock type; box and cover",each,70.96
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Flush floor mounted; 20 amp, 250 / 125 volt  twist lock type; box and cover",each,165.25
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. 20 amp, 250 volt  -  MFOS",each,23.45
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. 15 amp, 127 volt  -  MFOS",each,23.45
"Receptacles. Supply and install receptacle outlet, including cover and box, excluding conduits, etc. Exhaust fan / water heater / refrigerator outlet",each,23.45
"Junction Box, standard duty, internal, non-hazardous applications. Adaptable / junction box: 4.5 x 4.5 inches",each,70.63
"Junction Box, standard duty, internal, non-hazardous applications. Adaptable / junction box: 8.5 x 8.5 inches",each,94.62
"Junction Box, Surface mounted, IP55, Suitable for Power sharing with 400A Busbar rating, 600mmx400mmx200mm ",each,517.92
Temporary Building Wall (non load bearing).,sq.m.,20.37
Set up well point dewatering,each,1632.38
Install or remove dewatering manifold,each,673.92
"Well point operation, hour",each,22.46
"Well point operation, day",each,494.21
"Well point operation, week",each,3594.24
"Well point operation, month",each,15485.18
"Shelter. Pre-installed, fully equipped, steel shelter 2.5x2.0x2.4 (internal dim.).  With A/C set of 3 ton capacity. Price not include DC power and telecom equipment.",each,32849.47
"Shelter. Precast, fully equipped, shelter 2.5x2.0x2.4 (internal dim.).  With A/C set of 3 ton capacity. Price not include DC power and telecom equipment.",each,38937.85
"Shelter. Pre-installed, fully equipped, steel shelter 3x3x2.77 (internal dim.).  With A/C set of 3 ton capacity. Price not include DC power and telecom equipment.",each,35398.13
"Shelter. Pre-installed, fully equipped, shelter Internal dimensions 3.0x2.4x2.78 high point 2.73 low point. With A/C packaged unit set of 3 ton capacity. Price not include DC power and telecom equipment.",each,44943.36
Shelter Foundation. Precast Foundation,each,2236.35
Transportation Shelter and Foundation,each,710.04
Erection of Shelter and Foundation,each,2449.24
"Gantry between tower and Equipment shelter, galvanized",lin.m.,461.46
"Supply only for Decorative Shelter. Pre-installed, fully equipped, shelter Internal 
dimensions 3.0x2.4x2.78 high point 2.73 low point. With A/C
 packaged unit set of 3 ton capacity. Price not include DC power 
and telecom equipment.",Each,49443.64
"Supply only for Decorative Shelter. Pre-installed, fully equipped, steel shelter 3x3x2.77 (internal dim.).  With A/C set of 3 ton capacity. Price not include DC power and telecom equipment.",each,53002.58
"Supply only for Decorative Shelter. Pre-installed, fully equipped, steel shelter 3x3x2.77 (internal dim.). With A/C set of 4 ton capacity.Price not include DC power and telecom equipment.",each,53002.58
Electrical item on SCECO wall. SCECO Wall Box Frame,each,76.68
Electrical item on SCECO wall. MCCB 125amp Manual Transfer Switch,each,1353.83
Electrical item on SCECO wall. Rain Tight 200amp Receptical,each,922.93
500 AH Batteries (Flooded),each,8446.46
1000 AH Batteries (Flooded),each,11681.28
"String of12 cells (=48V) valve regulated battery, capacity125AH, including battery stand for 2x12 cells ",each,3514.37
300 AH Batteries (Valve regulated),each,6611.42
"String of 24 cells(=48V) valve regulated battery, capacity 300AH including battery stand for 24 cells",each,8629.68
400 AH Batteries (Valve regulated) to be used for expansion only ,each,11050.43
500 AH Batteries (Valve Regulated),each,14423.78
"12,5A Rectifier",each,2086.46
50 A Rectifier,each,3144.96
100 A Rectifier,each,5042.72
E) Normal type dewatering system using normal pumps. (Minimum 2 Pumps) with Storage,LS,2566.84
TSSR package for site sharing sites,each,3593.58
Feeder to Feederless conversion,each,1889.28
Maintance Generator,per.month,432
Outdoor cable gantry with cover supply & Installation (450mm width) in greenfield site,Meter,290.53
Supply and installation of Roxtec Type G8X1 (RM 40 + 20W40),each,403.75
Supply and installation of Roxtec Type G8X1 (RM 60 + 20W40),each,426.22
Supply and installation of Roxtec Type G4X3 (RM 40 + 20W40),each,709.56
Supply and installation of Roxtec Type G4X3 (RM 60 + 20W40),each,727.23
Supply and installation of Roxtec Type Complus 6X2 (RM 40 + 20W40),each,702.97
Supply and installation of Roxtec Type Complus 6X2 (RM 60 + 20W40),each,688.6
Supply and installation of Roxtec Type KFO (RM 40 + 20W40),each,390.87
Supply and installation of Roxtec Type KFO (RM 60 + 20W40),each,398.96
Supply and installation of RM module  (RM 40),each,13.48
Supply and installation of RM module  (RM 20),each,5.39
RF Antenna mounting supply and installation with bracket and all accesseriores (3m),each,404.35
RF Antenna mounting supply and installation with bracket and all accesseriores (2m),each,374.4
MW Antenna mounting supply and installation with bracket and all accesseriores (3m),each,404.35
MW Antenna mounting supply and installation with bracket and all accesseriores (2m),each,374.4
RRU mounting supply and installation with bracket and all accesseriores (1.5m),each,329.47
"Structural steelwork, materials, fabrication, bolts, welding, erection etc, for complete structures. Type: galvanized, quality .",Ton,3893.76
one minishelter Installation(required Accessories) As per Zain KSA Standard  ,each,748.8
One Powercube Installation(required Accessories) As per Zain KSA Standard  ,each,1198.08
"DC Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with two mains fuse rating up to 250A/ 48V & five branch circuits for each main.",each,599.04
Install Battery Bracket for 150Ah battery string,set,259.2
"Tower analysis: comparative study, to verify that the additional load is within the designed spare capacity of the structure. ",each,430.08
Tower analysis:structural calculation based on available documentation and drawings,each,907.2
Tower analysis: structural calculation incl. survey to measure and verify the condition of the members of the structure as basis for the structural calculation,each,1824
Supply and installation of the DCDU,Each,432
Supply and installation of the DC panel,Each,432
"Reinforced Concrete including formwork, reinforcement, and finishing in all types of structures (cast in situ). Quality 35 N/mm²",cu.m.,419.33
"Lean concrete underneath foundation, waterproof membrane etc. 10 cm thickness",sq.m.,11.38
"Lean concrete underneath foundation, waterproof membrane etc. 15 cm thickness",sq.m.,14.98
"Reinforced concrete precast retaining wall panels including supply, installation , holes for cabling etc.",cu.m.,374.4
Precast concrete units for columns,cu.m.,404.35
Precast concrete units for beams,cu.m.,404.35
Precast concrete units for structural walls (load beraring),cu.m.,404.35
Precast concrete internal and external walls,cu.m.,404.35
"Precast concrete boundary fence (Thickness 12 cm, Height 3 m.) From ground level with fine sand blasted finish inside and hard sand blasted finish outside",lin.m.,164.74
"Foundation Work Including Excavation, Backfilling, Blinding Concrete Reinforcement.  Gantry Post Foundation & Post Installation",each,299.52
"Rooftop Sites. Erection of Steelwork. Incl. mast steel, bolts with nuts and washers, initial quantity of antenna mounts for initial design load. up to 4.5 m mast",ton,1414.18
"Supply and erection Structural steelwork, materials, fabrication, anchor bolts, welding,etc, for complete structures. Type: galvanised, quality including Rooftop Building Sites (Sq.bases, tripods, wall mounts, etc)",ton,3444.63
"Hot dip Galvanizing  for structural steel with steel thickness greater than 5 mm, not to be less than 140µm in thickness.",ton,224.64
Supply and Install Site Logo sign boards 80x80 cm on green field and roof top sites,each,110.82
Fuel Filling Gate,each,194.69
Grounding conductor 70 mm,lin.m.,12.13
Electrical Tests,each,299.52
"Electrical cable - Screened 24 volt grade, PVC multi-core Supply and install electrical cable including connections, cable pull and ties as necessary, 1.5 mm² x16 core",lin.m.,10.48
"DC Distribution Panels with Labels. Wall mounted and rated for full neutral and ground, with two mains fuse rating up to 250A/ 48V & five branch circuits for each main.",each,599.04
"Link box with label. Wall mounted & with ground/neutral with main MCB 80A & 6 branch MCB on combine busbar,220V,3phase,",each,539.14
"Isolating switch. Supply and install isolating switches, internally or externally. as described, including cable entry points and the like, 80 amp; 3 pole; in weatherproof enclosure",Each,164.74
"Circuit Breaker with labels. Moulded case, panel mounted, for switchboards. 220 Volt, 60 Hz. Supply and Install 80 amp, 3 pole; weatherproof enclosure",Each,413.34
Additional Electrical Works to be added with site Electrical Works if required. Electrical Works for on Site Generator,each,1048.32
Additional Electrical Works to be added with site Electrical Works if required. Electrical & Mechanical Works for on Site 1000 liter fuel tank,each,1407.74
"FM200 Gas Flooding Extinguishing System complete.  Based on type 2. Supply and install, including all brackets, straps,  identification plates and discs. Gas bottle and gas  -  15 -49 kg",each,3594.24
